#ZJHHY
A|农、林、牧、渔业
H020103|特种钢
H020104|钢加工
H0202|有色
H020201|铜
H020202|铝
H020203|铅锌
H020204|黄金
H020205|稀有金属
H0203|建材
H020301|陶瓷
H020302|水泥
H020303|玻璃
H020304|耐火材料
H020305|管材
H020399|其他建材
H0204|造纸
H0205|新材料
H020501|金属新材
H020502|矿物制品
H020503|磁性材料
H03|化工
H0301|日用化工
H0302|化学纤维
H030201|粘胶纤维
H030202|氨纶
H030203|锦纶
H030204|涤纶
H0303|化学原料
H030301|氯碱
H030302|纯碱
H030303|无机盐
H030305|钛白粉
H030307|有机化学
H030399|其他原料
H0304|化学制品
H030401|炭黑
H030402|氟化工
H030403|磷化工
H030404|民爆用品
H030406|染料涂料
H030407|合成树脂
H030408|农药
H030409|化肥
H030499|其他化学
H0305|专用化学
H030501|化学试剂
H030502|电子化学
H030503|信息化学
H0308|塑料
H030801|塑料薄膜
H030803|改性塑料
H030804|合成革
H030805|塑料零件
H030899|其他塑料
H0309|橡胶
H04|日常消费
H0401|农林牧渔
H040101|种植业
H040102|林业
H040103|畜牧业
H040104|渔业
H040105|饲料
H040106|农业加工
H0402|纺织服饰
H040201|纺织
H040202|服饰
H040203|家纺
H0403|食品饮料
H040301|乳制品
H040302|软饮料
H040303|食品综合
H040304|肉制品
H040305|调味品
H0404|酿酒
H040401|白酒
H040402|啤酒
H040403|葡萄酒
H040404|黄酒
H040499|其他酒类
H05|可选消费
H0501|家用电器
H050101|白色家电
H050102|厨卫电器
H050103|视听器材
H050104|照明灯具
H050105|个护健康
H050106|家电材料
H0502|家居用品
H050201|家装
H050202|家具
H050203|家用品
H0503|汽车类
H050301|汽车整车
H050302|汽车配件
H050303|汽车服务
H0504|非汽交运
H050401|摩托车
H050402|自行车
H06|医药行业
H0601|医疗保健
H060101|医疗器械
H060102|保健品
H060103|临床研究
H060104|医疗服务
H0602|医药
H060201|化学制药
H060202|生物制药
H060203|中成药
H060204|药用辅料
H060205|原料药
H0603|医药商业
H07|商贸零售
H0701|一般零售
H070101|百货
H070102|超市
H0703|专业连锁
H070301|电器连锁
H070303|珠宝首饰
H070399|其他连锁
H0704|商品批发
H0705|贸易
H08|社会服务
H0801|文化传媒
H080101|出版业
H080102|影视制作
H080103|广电传输
H080104|发行院线
H080105|文化娱乐
H080106|文化创意
H0802|广告包装
H080201|广告营销
H080202|包装印刷
H080203|数字营销
H0803|文教休闲
H080301|文具用品
H080302|教育服务
H080304|休闲玩具
H080305|乐器
H080306|体育
H0804|酒店餐饮
H0805|旅游
H080501|旅游服务
H080502|旅游景点
H0806|其他服务
H080601|商务服务
H080602|居民服务
H080603|科技服务
H09|装备制造
H0901|航空制造
H0902|船舶制造
H0903|运输设备
H090301|轨道交通
H090302|电梯
H0904|通用机械
H090401|机床制造
H090402|机械基件
H090403|电机制造
H0905|工业机械
H090501|化工机械
H090502|轻工机械
H090503|纺织机械
H090504|农用机械
H090505|专用机械
H0906|电气设备
H090601|电池
H090602|电线电缆
H090603|电源设备
H090604|输配电
H090605|输变电
H090606|电控设备
H090607|发电设备
H090608|电自动化
H0907|工程机械
H0908|电器仪表
H090801|通用仪器
H090802|专用仪器
H090803|光学仪器
H090804|激光设备
H090805|安防设备
H10|公用事业
H1001|电信运营
H1002|公共交通
H1003|水务
H1004|供气供热
H100401|燃气
H100402|热电
H1005|环境保护
H100501|环保设备
H100502|生态保护
H100503|环保工程
H100506|环境监测
H11|交通运输
H1101|运输服务
H110101|铁路
H110102|水运
H110103|空运
H110104|汽运
H1102|仓储物流
H1103|交通设施
H110301|路桥
H110302|机场
H110303|港口
H12|金融
H1201|银行
H1202|证券
H1203|保险
H1204|多元金融
H13|建筑地产
H1301|建筑工程
H130101|房屋建筑
H130102|基础建设
H130103|建筑设计
H130104|建筑安装
H130105|园林工程
H1302|装修装饰
H1303|房地产
H130301|全国地产
H130302|区域地产
H130303|园区开发
H130304|房产服务
H14|信息产业
H1401|IT设备
H140101|电脑设备
H140102|IT外设
H140103|金融设备
H1402|通信设备
H140201|通信传输
H140202|通信终端
H140203|通信配件
H140204|通信产品
H140205|通信应用
H1403|半导体
H140301|芯片材料
H140302|芯片设备
H140303|芯片设计
H140304|芯片制造
H140305|芯片封测
H1404|元器件
H140401|无源器件
H140403|PCB
H140404|元件材料
H140405|电子元件
H1407|光学光电
H140701|LED
H140702|显示器件
H140703|光学元件
H1405|软件服务
H140501|系统软件
H140502|行业软件
H140599|综合软件
H1406|互联网
H140601|互联服务
H140602|游戏
H140604|电子商务
H140605|互联媒体
H99|综合
H9901|综合类
######
#TDXRSHY
X10|煤炭
X1001|煤炭开采
X100101|动力煤
X100102|炼焦煤
X1002|焦炭加工
X11|石油
X1101|油气开采
X1103|石油化工
X110301|炼油化工
X110302|石油贸易
X110303|其他石化
X1102|油服工程
X110201|油田服务
X110202|油气工程
X12|化工
X1201|日用化工
X120101|洗护用品
X120102|化妆品
X1202|化纤
X120201|涤纶
X120202|氨纶
X120203|粘胶纤维
X120204|锦纶
X120205|碳纤维
X120299|其他化学纤维
X1203|化学原料
X120301|煤化工
X120302|钛白粉
X120303|氯碱
X120304|纯碱
X120305|无机盐
X120306|有机化工原料
X120399|其他化学原料
X1204|化学制品
X120401|聚氨酯
X120402|涂料油墨
X120403|民爆制品
X120404|纺织化学品
X120405|氟化工
X120406|食品助剂
X120407|有机硅
X120408|胶黏剂及胶带
X120499|其他化学制品
X1205|塑料
X120501|合成树脂
X120502|塑料薄膜
X120503|改性塑料
X120504|合成革
X120505|塑料助剂
X120506|其他塑料制品
X1206|橡胶
X120601|橡胶助剂
X120602|炭黑
X120603|橡胶制品
X1207|农用化工
X120701|农药
X120702|氮肥
X120703|磷肥及磷化工
X120704|钾肥
X120705|复合肥
X1208|非金属材料
X13|钢铁
X1301|冶钢原料
X130101|铁矿石
X130102|冶钢辅料
X1302|普钢
X130201|长材
X130202|板材
X130203|其他钢材
X1303|特钢
X14|有色
X1401|工业金属
X140101|铜
X140102|铝
X140103|铅锌
X1402|贵金属
X140201|黄金
X140202|白银
X1403|能源金属
X140301|锂
X140302|镍
X140303|钴
X1404|稀有金属
X140401|稀土
X140402|钨钼
X140403|钛
X140404|其他金属
X1405|金属新材料
X140501|磁性材料
X140502|其他金属新材料
X15|建材
X1501|水泥
X150101|水泥制造
X150102|水泥制品
X1502|玻璃玻纤
X150201|玻璃制造
X150202|玻纤制造
X1503|装饰建材
X150301|陶瓷
X150302|管材
X150303|耐火材料
X150304|防水材料
X150305|涂料
X150306|其他建材
X20|农林牧渔
X2001|种植业
X200101|粮食种植
X200102|食用菌
X200103|种子
X200104|其他种植业
X2002|养殖业
X200201|生猪养殖
X200202|肉鸡养殖
X200203|其他养殖
X2003|林业
X2004|渔业
X200401|水产养殖
X200402|水产捕捞
X2005|饲料
X200501|畜禽饲料
X200502|水产饲料
X200503|宠物食品
X2006|农产品加工
X200601|粮油加工
X200602|果蔬加工
X200603|其他农产品加工
X2007|动物保健
X21|食品饮料
X2102|酿酒
X210205|白酒
X210201|啤酒
X210202|葡萄酒
X210203|黄酒
X210204|其他酒类
X2103|饮料乳品
X210301|软饮料
X210302|乳制品
X2104|调味品
X2105|休闲食品
X210501|零食
X210502|烘焙食品
X210503|熟食
X2106|食品加工
X210601|肉制品
X210602|制糖业
X210603|预加工食品
X210604|保健品
X210605|其他食品
X22|纺织服饰
X2201|纺织制造
X220101|棉纺制品
X220102|印染
X220103|辅料
X220104|其他纺织
X220105|纺织鞋类制造
X2202|服装家纺
X220201|家纺
X220202|鞋帽及其他
X220203|运动服装
X220204|非运动服装
X2203|饰品
X220301|钟表珠宝
X220302|多品类奢侈品
X220303|其他饰品
X23|轻工制造
X2301|造纸
X230101|大宗用纸
X230102|生活用纸
X230103|特种纸
X2302|包装印刷
X230201|印刷
X230202|金属包装
X230203|塑料包装
X230204|纸包装
X230205|其他包装
X2303|家居用品
X230301|家具
X230302|其他家居
X2304|文娱用品
X230401|文化用品
X230402|娱乐用品
X24|家电
X2401|白色家电
X240101|空调
X240102|冰洗
X2402|黑色家电
X240201|电视
X240202|其他黑色家电
X2403|小家电
X240301|厨房小家电
X240302|清洁小家电
X240303|个护小家电
X2404|厨卫电器
X240401|厨房电器
X240402|卫浴电器
X2406|家电零部件
X25|商贸
X2501|一般零售
X250101|超市及便利店
X250102|百货
X250103|多业态零售
X2503|商业物业经营
X2504|专业连锁
X2505|贸易
X2506|电子商务
X250601|综合电商
X250602|跨境电商
X250603|电商服务
X26|汽车
X2601|乘用车
X260101|电动乘用车
X260102|综合乘用车
X2602|商用车
X260201|商用载货车
X260202|商用载客车
X2603|汽车零部件
X260301|车身附件及饰件
X260302|底盘与发动机系统
X260303|轮胎轮毂
X260304|其他汽车零部件
X260305|汽车电子电气系统
X2604|汽车服务
X260401|汽车经销商
X260402|汽车综合服务
X2605|摩托车及其他
X260501|摩托车
X260502|其他交通设备
X27|医药医疗
X2701|化学制药
X270101|化学制剂
X270102|原料药
X2702|生物制品
X270201|血液制品
X270202|疫苗
X270203|抗体
X270204|诊断试剂
X270205|基因药物
X270206|其他生物制药
X2706|中药
X2705|医药商业
X270501|医药流通
X270502|线下药店
X270503|互联网药店
X2703|医疗器械
X270301|家用器械
X270302|医疗设备
X270303|医疗耗材
X270304|体外诊断
X270305|制药装备
X2704|医疗服务
X270401|诊断服务
X270402|医疗研发外包
X270403|医院
X270404|其他医疗服务
X2707|医疗美容
X270701|医美耗材
X270702|医美服务
X30|电力设备
X3001|电机制造
X3002|电池
X300201|锂电池
X300202|电池化学品
X300203|锂电设备
X300204|燃料电池
X300205|其他电池
X3003|电网设备
X300301|电工仪器
X300302|电网自动化
X300303|输变电设备
X300304|配电设备
X300305|线缆部件及其他
X3004|光伏设备
X300401|光伏硅料
X300402|光伏硅片
X300403|光伏电池组件
X300404|光伏逆变器
X300405|光伏辅材
X300406|光伏加工设备
X3005|风电设备
X300501|风电整机
X300502|风电零部件
X3006|其他发电设备
X31|国防军工
X3101|地面兵装
X3102|航空装备
X3103|航天装备
X3104|航海装备
X3105|军工电子
X32|机械设备
X3201|轨交设备
X3202|通用设备
X320201|仪器仪表
X320202|机床制造
X320203|机械基础件
X320204|金属制品
X320205|内燃机
X320206|制冷空调设备
X320207|磨具磨料
X320299|其他通用设备
X3203|专用设备
X320301|能源及重型设备
X320302|印刷包装机械
X320303|纺织服装设备
X320304|农用机械
X320305|楼宇设备
X320399|其他专用设备
X3204|工程机械
X320401|工程机械整机
X320402|工程机械零件
X3205|自动化设备
X320501|机器人
X320502|工业控制设备
X320503|激光设备
X320599|其他自动化设备
X40|电子
X4001|半导体
X400101|半导体材料
X400102|半导体设备
X400103|集成电路设计
X400104|功率半导体
X400105|半导体制造
X400106|半导体封测
X4002|消费电子
X400201|消费电子组件
X400202|品牌消费电子
X4003|光学光电
X400301|面板
X400302|光学元件
X400303|LED
X4004|元器件
X400401|PCB
X400402|被动元件
X4005|其他电子
X41|通信
X4101|通信设备
X410101|光纤光缆
X410102|网络接配及塔设
X410103|系统设备
X410104|通信终端及配件
X410105|其他通信设备
X4103|通信工程
X410301|网络规划设计
X410302|网络工程施工
X410303|网络优化运维
X4102|电信服务
X410201|电信运营服务
X410202|电信增值服务
X42|计算机
X4201|IT设备
X420101|安防设备
X420102|其他IT设备
X4202|软件服务
X420201|基础软件
X420202|行业应用软件
X420203|新兴软件
X4203|云服务
X420301|云基础设施服务
X420302|云平台服务
X420303|云软件服务
X420304|其他云服务
X4204|产业互联网
X420401|产联网信息服务
X420402|产联网平台服务
X420403|产联网综合服务
X43|传媒
X4301|游戏
X4302|广告营销
X430201|互联网广告
X430202|其他广告营销
X4303|影视院线
X430301|影视制作
X430302|发行院线
X4304|数字媒体
X430401|视频音频媒体
X430402|文字图片媒体
X430403|其他数字媒体
X4306|出版业
X430601|教育出版
X430602|大众出版
X430603|其他出版
X4307|广播电视
X50|银行
X5001|全国性银行
X500101|国有大型银行
X500102|股份制银行
X5002|地方性银行
X500201|城商行
X500202|农商行
X51|非银金融
X5101|证券
X5102|保险
X5103|多元金融
X510301|非货币银行
X510302|信托
X510303|投资管理
X510304|期货
X510305|租赁
X510306|金融控股
X510307|金融信息服务
X510399|其他金融服务
X52|建筑
X5201|房屋建设
X5202|基础建设
X520201|基建工程
X520202|园林工程
X5203|专业工程
X520301|化学工程
X520302|钢结构
X520303|国际工程
X520304|其他专业工程
X5204|工程咨询服务
X5205|装修装饰
X53|房地产
X5301|房地产开发
X530101|住宅开发
X530102|商业地产
X530103|产业地产
X5302|房产服务
X530201|物业管理
X530202|租赁经纪
X60|社会服务
X6001|体育
X6002|教育培训
X6003|酒店餐饮
X600301|酒店
X600302|餐饮
X6005|旅游
X600501|旅游景区
X600502|旅游服务
X600503|休闲综合
X6006|专业服务
X600601|人力资源服务
X600602|检测服务
X600603|会展服务
X600604|其他专业服务
X61|交通运输
X6101|公路铁路
X610103|公共交通
X610102|高速公路
X610101|铁路运输
X6102|航空机场
X610201|航空运输
X610202|机场
X6103|航运港口
X610301|港口
X610302|航运
X6104|物流
X610401|供应链服务
X610402|快递
X610403|跨境物流
X610404|仓储物流
X610405|公路货运
X62|公用事业
X6201|电力
X620101|水力发电
X620102|火力发电
X620103|热力服务
X620104|风力发电
X620105|光伏发电
X620106|核力发电
X620107|电能综合服务
X6202|燃气
X6203|水务
X63|环保
X6301|环保设备
X6302|环境治理
X630201|大气治理
X630202|水治理
X630203|固废治理
X630204|生态修复
X6303|环境监测
X99|综合
X9901|综合类
######
#ZXHY
ZX10|石油石化
ZX1010|石油开采Ⅱ
ZX101010|石油开采Ⅲ
ZX1020|石油化工
ZX102010|炼油
ZX102040|油品销售及仓储
ZX102050|其他石化
ZX1030|油服工程
ZX103010|油田服务
ZX103020|工程服务
ZX11|煤炭
ZX1110|煤炭开采洗选
ZX111010|动力煤
ZX111020|无烟煤
ZX111030|炼焦煤
ZX1120|煤炭化工
ZX112010|焦炭
ZX112020|其他煤化工
ZX12|有色金属
ZX1210|贵金属
ZX121010|黄金
ZX1220|工业金属
ZX122010|铜
ZX122020|铅锌
ZX122050|铝
ZX1230|稀有金属
ZX123020|稀土及磁性材料
ZX123030|镍钴锡锑
ZX123040|钨
ZX123050|锂
ZX123060|其他稀有金属
ZX20|电力及公用事业
ZX2010|发电及电网
ZX201010|火电
ZX201020|水电
ZX201030|其他发电
ZX201040|电网
ZX2020|环保及公用事业
ZX202030|燃气
ZX202040|供热或其他
ZX202050|环保及水务
ZX21|钢铁
ZX2110|普钢
ZX211010|长材
ZX211020|板材
ZX2120|其他钢铁
ZX212020|铁矿石
ZX212030|贸易流通
ZX212040|钢铁耗材
ZX2130|特材
ZX213010|特钢
ZX22|基础化工
ZX2210|农用化工
ZX221010|氮肥
ZX221020|钾肥
ZX221040|复合肥
ZX221050|农药
ZX221060|磷肥及磷化工
ZX2220|化学纤维
ZX222010|涤纶
ZX222030|氨纶
ZX222040|粘胶
ZX222050|绵纶
ZX222070|碳纤维
ZX2230|化学原料
ZX223010|纯碱
ZX223020|氯碱
ZX223030|无机盐
ZX223080|其他化学原料
ZX223090|钛白粉
ZX2240|其他化学制品Ⅱ
ZX224010|日用化学品
ZX224011|锂电化学品
ZX224020|民爆用品
ZX224021|氟化工
ZX224030|涂料油墨颜料
ZX224031|有机硅
ZX224040|印染化学品
ZX224041|聚氨酯
ZX224051|橡胶助剂
ZX224070|其他化学制品Ⅲ
ZX224080|食品及饲料添加剂
ZX224090|电子化学品
ZX2250|塑料及制品
ZX225010|改性塑料
ZX225020|合成树脂
ZX225030|膜材料
ZX225040|其他塑料制品
ZX2260|橡胶及制品
ZX226010|轮胎
ZX226020|橡胶制品
ZX23|建筑
ZX2310|建筑施工
ZX231020|房建建设
ZX231030|基建建设
ZX231040|园林工程
ZX231050|专业工程及其他
ZX2320|建筑装修Ⅱ
ZX232010|建筑装修Ⅲ
ZX2330|建筑设计及服务Ⅱ
ZX233010|建筑设计及服务Ⅲ
ZX24|建材
ZX2440|结构材料
ZX244010|水泥
ZX244020|玻璃
ZX244030|其他结构材料
ZX2450|装饰材料
ZX245010|陶瓷
ZX245020|其他装饰材料
ZX2460|专用材料Ⅱ
ZX246010|玻璃纤维
ZX246020|其他专用材料
ZX25|轻工制造
ZX2510|造纸Ⅱ
ZX251010|造纸Ⅲ
ZX2520|包装印刷
ZX252010|印刷
ZX252040|纸包装
ZX252050|金属包装
ZX252060|其他包装
ZX2530|家居
ZX253010|家具
ZX253020|其他家居
ZX2540|文娱轻工Ⅱ
ZX254010|文娱轻工Ⅲ
ZX2550|其他轻工Ⅱ
ZX255010|其他轻工Ⅲ
ZX26|机械
ZX2610|工程机械Ⅱ
ZX261010|工程机械Ⅲ
ZX261020|叉车
ZX261030|电梯
ZX261040|高空作业车
ZX2620|专用机械
ZX262010|矿山冶金机械
ZX262020|纺织服装机械
ZX262030|其他专用机械
ZX262040|油气装备
ZX262050|核电设备
ZX262060|光伏设备
ZX262070|3C设备
ZX262080|锂电设备
ZX2630|通用设备
ZX263010|锅炉设备
ZX263020|机床设备
ZX263030|起重运输设备
ZX263040|基础件
ZX263050|其他通用机械
ZX263060|工业机器人及工控系统
ZX263070|服务机器人
ZX263080|塑料加工机械
ZX263090|激光加工设备
ZX2640|运输设备
ZX264010|铁路交通设备
ZX264020|船舶制造
ZX264030|其他运输设备
ZX2650|仪器仪表Ⅱ
ZX265010|仪器仪表Ⅲ
ZX2660|金属制品Ⅱ
ZX266010|金属制品Ⅲ
ZX27|电力设备及新能源
ZX2720|电气设备
ZX272010|输变电设备
ZX272020|配电设备
ZX272030|电力电子及自动化
ZX272040|电机
ZX2730|电源设备
ZX273010|风电
ZX273020|核电
ZX273030|太阳能
ZX273040|储能
ZX273050|综合能源设备
ZX2740|新能源动力系统
ZX274010|锂电池
ZX274020|燃料电池
ZX274030|车用电机电控
ZX274040|电池综合服务
ZX28|国防军工
ZX2810|航空航天
ZX281010|航空军工
ZX281020|航天军工
ZX2820|兵器兵装Ⅱ
ZX282010|兵器兵装Ⅲ
ZX2830|其他军工Ⅱ
ZX283010|其他军工Ⅲ
ZX30|汽车
ZX3010|乘用车Ⅱ
ZX301010|乘用车Ⅲ
ZX3020|商用车
ZX302010|卡车
ZX302020|客车
ZX302030|专用汽车
ZX3030|汽车零部件Ⅱ
ZX303010|汽车零部件Ⅲ
ZX3040|汽车销售及服务Ⅱ
ZX304010|汽车销售及服务Ⅲ
ZX3050|摩托车及其他Ⅱ
ZX305010|摩托车及其他Ⅲ
ZX31|商贸零售
ZX3110|一般零售
ZX311010|百货
ZX311020|超市及便利店
ZX311040|综合业态
ZX3120|贸易Ⅱ
ZX312010|贸易Ⅲ
ZX3130|专营连锁
ZX313010|家电3C
ZX313020|珠宝首饰及钟表
ZX313030|医疗美容
ZX313040|其他连锁
ZX3140|电商及服务Ⅱ
ZX314010|电商及服务Ⅲ
ZX3150|专业市场经营Ⅱ
ZX315010|专业市场经营Ⅲ
ZX32|消费者服务
ZX3210|旅游及休闲
ZX321010|景区
ZX321020|旅游服务
ZX321030|旅游零售
ZX321040|休闲综合
ZX3220|酒店及餐饮
ZX322010|酒店
ZX322020|餐饮
ZX3230|教育
ZX323010|早幼教
ZX323020|K12基础教育
ZX323030|K12培训
ZX323040|高等及职业教育
ZX323050|教育信息化及在线教育
ZX323060|教育综合
ZX3240|综合服务
ZX324010|人力资源服务
ZX324020|服务综合
ZX33|家电
ZX3310|白色家电Ⅱ
ZX331010|白色家电Ⅲ
ZX3320|黑色家电Ⅱ
ZX332010|黑色家电Ⅲ
ZX3330|小家电Ⅱ
ZX333010|小家电Ⅲ
ZX3340|照明电工及其他
ZX334010|照明电工
ZX334020|其他家电
ZX3350|厨房电器Ⅱ
ZX335010|厨房电器Ⅲ
ZX34|纺织服装
ZX3410|纺织制造
ZX341010|棉纺制品
ZX341020|非棉纺织品
ZX341030|印染
ZX341040|其他纺织
ZX3420|品牌服饰
ZX342010|中高端成人品牌服饰
ZX342020|大众成人品牌服饰
ZX342040|体育及户外品牌
ZX342050|家纺
ZX342060|儿童品牌
ZX342070|功能性服饰
ZX342080|其他时尚品
ZX35|医药
ZX3510|化学制药
ZX351010|化学原料药
ZX351020|化学制剂
ZX3520|中药生产
ZX352010|中药饮片
ZX352020|中成药
ZX3530|生物医药Ⅱ
ZX353010|生物医药Ⅲ
ZX3540|其他医药医疗
ZX354010|医药流通
ZX354020|医疗器械
ZX354030|医疗服务
ZX36|食品饮料
ZX3610|酒类
ZX361010|白酒
ZX361020|啤酒
ZX361030|其他酒
ZX3620|饮料
ZX362040|非乳饮料
ZX362050|乳制品
ZX3630|食品
ZX363010|肉制品
ZX363020|调味品
ZX363040|其他食品
ZX363050|休闲食品
ZX363060|速冻食品
ZX37|农林牧渔
ZX3710|种植业
ZX371010|种业
ZX371040|种植
ZX3720|畜牧业
ZX372010|饲料加工
ZX372020|动物疫苗及兽药
ZX372030|畜牧养殖
ZX3730|林业
ZX373010|林木及加工
ZX3740|渔业
ZX374010|水产养殖
ZX374020|水产捕捞
ZX374030|水产品加工
ZX3750|农产品加工Ⅱ
ZX375010|农产品加工Ⅲ
ZX375020|宠物食品
ZX40|银行
ZX4010|国有大型银行Ⅱ
ZX401010|国有大型银行Ⅲ
ZX4020|全国性股份制银行Ⅱ
ZX402010|全国性股份制银行Ⅲ
ZX4030|区域性银行
ZX403010|城商行
ZX403020|农商行
ZX41|非银行金融
ZX4110|证券Ⅱ
ZX411010|证券Ⅲ
ZX4120|保险Ⅱ
ZX412010|保险Ⅲ
ZX4130|多元金融
ZX413010|信托
ZX413020|其他非银金融
ZX413030|租赁
ZX413040|金融交易所及数据
ZX42|房地产
ZX4210|房地产开发和运营
ZX421010|住宅物业开发
ZX421020|非住宅物业开发和运营
ZX421030|园区综合开发
ZX4220|房地产服务
ZX422010|物业经纪服务
ZX422020|物业管理服务
ZX43|综合金融
ZX4310|资产管理Ⅱ
ZX431010|资产管理Ⅲ
ZX4320|多领域控股Ⅱ
ZX432010|多领域控股Ⅲ
ZX4330|新兴金融服务Ⅱ
ZX433010|新兴金融服务Ⅲ
ZX433020|数字金融服务
ZX433030|其他新兴金融
ZX4340|其他综合金融Ⅱ
ZX434010|其他综合金融Ⅲ
ZX50|交通运输
ZX5010|公路铁路
ZX501010|公路
ZX501020|铁路
ZX501030|公交
ZX5020|物流
ZX502020|物流综合
ZX502030|快递
ZX5030|航运港口
ZX503010|航运
ZX503020|港口
ZX5040|航空机场
ZX504010|航空
ZX504020|机场
ZX60|电子
ZX6010|半导体
ZX601020|集成电路
ZX601030|分立器件
ZX601040|半导体材料
ZX601050|半导体设备
ZX6030|元器件
ZX603020|PCB
ZX603030|被动元件
ZX6040|光学光电
ZX604010|安防
ZX604020|LED
ZX604030|面板
ZX604040|显示零组
ZX6050|消费电子
ZX605010|消费电子组件
ZX605020|消费电子设备
ZX6060|其他电子零组件Ⅱ
ZX606010|其他电子零组件Ⅲ
ZX61|通信
ZX6110|电信运营Ⅱ
ZX611010|电信运营Ⅲ
ZX6120|通信设备
ZX612010|动力设备
ZX612020|其他通信设备
ZX612030|通信终端及配件
ZX612050|网络接配及塔设
ZX612060|系统设备
ZX612070|线缆
ZX6130|增值服务Ⅱ
ZX613010|增值服务Ⅲ
ZX6140|通讯工程服务
ZX614010|网络覆盖优化与运维
ZX614020|网络规划设计和工程施工
ZX62|计算机
ZX6210|计算机设备
ZX621010|通用计算机设备
ZX621020|专用计算机设备
ZX6220|计算机软件
ZX622010|基础软件及管理办公软件
ZX622020|行业应用软件
ZX622030|新兴计算机软件
ZX6240|云服务
ZX624010|云基础设施服务
ZX624020|云平台服务
ZX624030|云软件服务
ZX624040|咨询实施及其他服务
ZX6250|产业互联网
ZX625010|产业互联网信息服务
ZX625020|产业互联网平台服务
ZX625030|产业互联网综合服务
ZX63|传媒
ZX6310|媒体
ZX631010|出版
ZX631020|广播电视
ZX6320|广告营销
ZX632010|互联网广告营销
ZX632020|其他广告营销
ZX6330|文化娱乐
ZX633010|影视
ZX633020|动漫
ZX633030|游戏
ZX633040|其他文化娱乐
ZX6340|互联网媒体
ZX634010|信息搜索与聚合
ZX634020|社交与互动媒体
ZX634030|互联网影视音频
ZX70|综合
ZX7010|综合Ⅱ
ZX701010|综合Ⅲ
######
#CJHY
CJ10|煤炭
CJ1010|煤炭开采及炼制
CJ101001|动力煤
CJ101002|炼焦煤
CJ101003|煤炭炼制
CJ101004|无烟煤
CJ1020|煤炭贸易Ⅱ
CJ102001|煤炭贸易Ⅲ
CJ11|油气石化
CJ1110|油气仓储与销售Ⅱ
CJ111001|油气仓储与销售Ⅲ
CJ1120|油气开采及炼制
CJ112001|油气开采
CJ112002|油气炼制
CJ12|非金属材料
CJ1210|玻璃制造
CJ121001|传统玻璃
CJ121002|光伏玻璃
CJ1220|玻纤及制品Ⅱ
CJ122001|玻纤及制品Ⅲ
CJ1230|其他非金属材料Ⅱ
CJ123001|其他非金属材料Ⅲ
CJ1240|水泥及混凝土
CJ124001|混凝土制品
CJ124002|水泥制造
CJ13|化学品
CJ1310|化学纤维
CJ131001|氨纶
CJ131002|涤纶
CJ131003|锦纶
CJ131004|其他纤维
CJ131005|粘胶
CJ1320|化学原料及制品
CJ132001|纯碱
CJ132002|氟化工
CJ132003|聚氨酯
CJ132004|磷化工
CJ132005|氯碱
CJ132006|民爆
CJ132007|其他化学原料
CJ132008|塑料制品
CJ132009|钛白粉
CJ132010|炭黑
CJ132011|无机盐
CJ132012|橡胶制品
CJ132013|日化品
CJ1330|精细化工及新材料
CJ133001|电子化学品
CJ133002|印染化学品
CJ133003|胶粘剂和胶带
CJ133004|其他精细化工及新材料
CJ133005|碳纤维
CJ133006|添加剂
CJ133007|涂料油墨
CJ1340|农业化工
CJ134001|氮肥
CJ134002|复合肥
CJ134003|钾肥
CJ134004|农药
CJ1350|综合化工Ⅱ
CJ135001|综合化工Ⅲ
CJ14|金属材料及矿业
CJ1410|钢铁制品
CJ141001|钢管
CJ141002|钢丝绳
CJ141003|普钢
CJ1420|贵金属
CJ142001|白银
CJ142002|黄金
CJ1430|基本有色金属
CJ143001|铝
CJ143002|铅锌
CJ143003|铜
CJ143004|锡
CJ1440|金属贸易与资讯
CJ144001|金属贸易
CJ1450|能源金属
CJ145001|钴
CJ145002|锂
CJ1460|其他钢铁制品
CJ146001|超硬材料
CJ146002|特钢
CJ146003|铁合金
CJ1470|其他金属及材料Ⅱ
CJ147001|其他金属及材料Ⅲ
CJ1480|铁矿石开采Ⅱ
CJ148001|铁矿石开采Ⅲ
CJ1490|稀土磁材
CJ149001|磁性材料
CJ149002|稀土
CJ15|纸类及包装
CJ1510|非纸类包装印刷
CJ151001|其他包装印刷
CJ151002|塑料包装
CJ151003|金属包装
CJ1520|纸包装Ⅱ
CJ152001|纸包装Ⅲ
CJ1530|纸制品
CJ153001|工业用纸
CJ153002|生活用纸
CJ16|电力及新能源设备
CJ1610|传统发电设备Ⅱ
CJ161001|传统发电设备Ⅲ
CJ1620|电气设备
CJ162001|电网一次硬件
CJ162002|电网终端
CJ162003|电网自动化
CJ162004|电线电缆
CJ1630|工控及自动化
CJ163001|电机及控制
CJ163002|电源设备
CJ163003|工控元器件
CJ163004|工业自动化
CJ1640|新能源车设备
CJ164001|电池材料
CJ164002|其他电池
CJ164003|锂电池
CJ1650|新能源设备及制造
CJ165001|风电零部件
CJ165002|风机制造
CJ165003|光伏制造
CJ17|机械设备
CJ1710|建筑及工程机械
CJ171001|工程机械
CJ171002|重卡
CJ171003|重型机械
CJ1720|通用机械
CJ172001|机床工具
CJ172002|机械基础件
CJ172003|磨具磨料
CJ172004|内燃机
CJ172005|其他通用机械
CJ172006|制冷空调设备
